Wind Monitoring Program V1.0
ȸ �� �� : (��)����
�ۼ����� : 2020�� 06�� 09�� 10:08:09


��¥/�ð� 	 Wind_Driction 	 Wind_Speed
2020-06-09 10:17:22:661	167	0
Wind Monitoring Program V1.0
ȸ �� �� : (��)����
�ۼ����� : 2020�� 06�� 09�� 10:08:09


��¥/�ð� 	 Wind_Driction 	 Wind_Speed
2020-06-09 10:08:09:671	301	0
2020-06-09 10:08:10:653	301	0
2020-06-09 10:08:11:656	301	0
2020-06-09 10:08:12:663	301	0
2020-06-09 10:08:13:655	301	0
2020-06-09 10:08:14:658	301	0
2020-06-09 10:08:15:649	301	0
2020-06-09 10:08:16:653	301	0
2020-06-09 10:08:17:660	301	0
2020-06-09 10:08:18:649	301	0
2020-06-09 10:08:19:657	301	0
2020-06-09 10:08:20:661	301	0
2020-06-09 10:08:21:670	301	0
2020-06-09 10:08:22:658	301	0
2020-06-09 10:08:23:663	301	0
2020-06-09 10:08:24:672	301	0
2020-06-09 10:08:25:658	301	0
2020-06-09 10:08:26:664	301	0
2020-06-09 10:08:27:655	301	0
2020-06-09 10:08:28:644	301	0
2020-06-09 10:08:29:649	301	0
2020-06-09 10:08:30:655	301	0
2020-06-09 10:08:31:645	301	0
2020-06-09 10:08:32:652	301	0
2020-06-09 10:08:33:641	301	0
2020-06-09 10:08:34:650	301	0
2020-06-09 10:08:35:669	301	0
2020-06-09 10:08:36:659	301	0
2020-06-09 10:08:37:649	301	0
2020-06-09 10:08:38:656	301	0.1819853
2020-06-09 10:08:39:647	301	0.1809325
2020-06-09 10:08:40:650	301	0.1846655
2020-06-09 10:08:41:657	301	0.1758313
2020-06-09 10:08:42:647	301	0.1930181
2020-06-09 10:08:43:652	301	0.1752866
2020-06-09 10:08:44:658	301	0
2020-06-09 10:08:45:648	301	0
2020-06-09 10:08:46:653	301	0
2020-06-09 10:08:47:659	301	0
2020-06-09 10:08:48:652	278	0.3005084
2020-06-09 10:08:49:655	274	0.2573662
2020-06-09 10:08:50:665	274	0.2312521
2020-06-09 10:08:51:670	285	0.2807711
2020-06-09 10:08:52:657	275	0.2424628
2020-06-09 10:08:53:651	275	0.2485372
2020-06-09 10:08:54:653	236	0.2331137
2020-06-09 10:08:55:662	236	0.1857711
2020-06-09 10:08:56:648	236	0
2020-06-09 10:08:57:658	236	0
2020-06-09 10:08:58:663	236	0
2020-06-09 10:08:59:666	236	0
2020-06-09 10:09:00:657	236	0
2020-06-09 10:09:01:662	236	0
2020-06-09 10:09:02:651	236	0
2020-06-09 10:09:03:658	236	0
2020-06-09 10:09:04:664	236	0
2020-06-09 10:09:05:653	236	0
2020-06-09 10:09:06:659	236	0
2020-06-09 10:09:07:648	236	0
2020-06-09 10:09:08:654	236	0
2020-06-09 10:09:09:649	236	0
2020-06-09 10:09:10:651	236	0
2020-06-09 10:09:11:658	236	0
2020-06-09 10:09:12:648	236	0
2020-06-09 10:09:13:654	236	0
2020-06-09 10:09:14:662	236	0
2020-06-09 10:09:15:648	236	0
2020-06-09 10:09:16:659	236	0
2020-06-09 10:09:17:660	236	0
2020-06-09 10:09:18:652	236	0
2020-06-09 10:09:19:655	236	0
2020-06-09 10:09:20:664	236	0
2020-06-09 10:09:21:651	236	0
2020-06-09 10:09:22:661	236	0
2020-06-09 10:09:23:665	236	0
2020-06-09 10:09:24:668	236	0
2020-06-09 10:09:25:659	236	0
2020-06-09 10:09:26:648	236	0
2020-06-09 10:09:27:654	236	0
2020-06-09 10:09:28:660	236	0
2020-06-09 10:09:29:650	236	0
2020-06-09 10:09:30:657	236	0
2020-06-09 10:09:31:663	236	0
2020-06-09 10:09:32:656	236	0
2020-06-09 10:09:33:657	236	0
2020-06-09 10:09:34:651	236	0
2020-06-09 10:09:35:654	236	0
2020-06-09 10:09:36:649	236	0
2020-06-09 10:09:37:649	236	0
2020-06-09 10:09:38:656	236	0
2020-06-09 10:09:39:663	236	0
2020-06-09 10:09:40:651	236	0
2020-06-09 10:09:41:656	236	0
2020-06-09 10:09:42:647	236	0
2020-06-09 10:09:43:656	236	0
2020-06-09 10:09:44:658	236	0
2020-06-09 10:09:45:665	236	0
2020-06-09 10:09:46:654	236	0
2020-06-09 10:09:47:661	236	0
2020-06-09 10:09:48:666	236	0
2020-06-09 10:09:49:656	236	0
2020-06-09 10:09:50:646	236	0
2020-06-09 10:09:51:651	236	0
2020-06-09 10:09:52:658	236	0
2020-06-09 10:09:53:647	236	0
2020-06-09 10:09:54:652	236	0
2020-06-09 10:09:55:643	236	0
2020-06-09 10:09:56:649	236	0
2020-06-09 10:09:57:655	236	0
2020-06-09 10:09:58:660	236	0
2020-06-09 10:09:59:650	236	0
2020-06-09 10:10:00:656	236	0
2020-06-09 10:10:01:663	236	0
2020-06-09 10:10:02:653	236	0
2020-06-09 10:10:03:657	236	0
2020-06-09 10:10:04:648	236	0
2020-06-09 10:10:05:655	236	0
2020-06-09 10:10:06:644	236	0
2020-06-09 10:10:07:671	236	0
2020-06-09 10:10:08:655	236	0
2020-06-09 10:10:09:648	236	0
2020-06-09 10:10:10:651	236	0
2020-06-09 10:10:11:657	236	0
2020-06-09 10:10:12:663	236	0
2020-06-09 10:10:13:654	236	0
2020-06-09 10:10:14:650	236	0.1764371
2020-06-09 10:10:15:650	236	0
2020-06-09 10:10:16:655	236	0
2020-06-09 10:10:17:661	236	0
2020-06-09 10:10:18:667	236	0
2020-06-09 10:10:19:657	236	0
2020-06-09 10:10:20:647	236	0
2020-06-09 10:10:21:654	236	0
2020-06-09 10:10:22:658	236	0
2020-06-09 10:10:23:666	236	0
2020-06-09 10:10:24:661	236	0.1897098
2020-06-09 10:10:25:660	236	0
2020-06-09 10:10:26:669	236	0
2020-06-09 10:10:27:655	236	0
2020-06-09 10:10:28:665	236	0
2020-06-09 10:10:29:653	236	0
2020-06-09 10:10:30:658	236	0
2020-06-09 10:10:31:666	236	0
2020-06-09 10:10:32:653	236	0
2020-06-09 10:10:33:662	236	0
2020-06-09 10:10:34:649	236	0
2020-06-09 10:10:35:655	236	0
2020-06-09 10:10:36:648	236	0
2020-06-09 10:10:37:650	236	0
2020-06-09 10:10:38:644	236	0
2020-06-09 10:10:39:646	236	0
2020-06-09 10:10:40:653	236	0
2020-06-09 10:10:41:658	236	0
2020-06-09 10:10:42:648	236	0
2020-06-09 10:10:43:655	236	0
2020-06-09 10:10:44:660	236	0
2020-06-09 10:10:45:653	236	0
2020-06-09 10:10:46:657	236	0
2020-06-09 10:10:47:663	236	0
2020-06-09 10:10:48:652	236	0
2020-06-09 10:10:49:658	236	0
2020-06-09 10:10:50:663	236	0
2020-06-09 10:10:51:652	236	0
2020-06-09 10:10:52:660	236	0
2020-06-09 10:10:53:666	236	0
2020-06-09 10:10:54:658	236	0
2020-06-09 10:10:55:665	236	0
2020-06-09 10:10:56:652	236	0
2020-06-09 10:10:57:657	236	0
2020-06-09 10:10:58:662	236	0
2020-06-09 10:10:59:655	236	0
2020-06-09 10:11:00:659	236	0.2238589
2020-06-09 10:11:01:664	236	0.1726545
2020-06-09 10:11:02:657	236	0
2020-06-09 10:11:03:644	236	0
2020-06-09 10:11:04:651	236	0.2247137
2020-06-09 10:11:05:656	236	0
2020-06-09 10:11:06:647	236	0
2020-06-09 10:11:07:655	236	0
2020-06-09 10:11:08:657	236	0
2020-06-09 10:11:09:649	236	0
2020-06-09 10:11:10:652	236	0
2020-06-09 10:11:11:659	236	0
2020-06-09 10:11:12:651	236	0
2020-06-09 10:11:13:655	236	0
2020-06-09 10:11:14:661	236	0
2020-06-09 10:11:15:666	236	0
2020-06-09 10:11:16:656	236	0
2020-06-09 10:11:17:663	236	0
2020-06-09 10:11:18:653	236	0
2020-06-09 10:11:19:658	236	0
2020-06-09 10:11:20:666	236	0
2020-06-09 10:11:21:654	236	0
2020-06-09 10:11:22:660	236	0
2020-06-09 10:11:23:654	236	0
2020-06-09 10:11:24:655	236	0.1695198
2020-06-09 10:11:25:665	236	0
2020-06-09 10:11:26:652	236	0
2020-06-09 10:11:27:657	236	0
2020-06-09 10:11:28:665	236	0
2020-06-09 10:11:29:654	236	0
2020-06-09 10:11:30:646	236	0
2020-06-09 10:11:31:649	236	0
2020-06-09 10:11:32:655	236	0
2020-06-09 10:11:33:646	236	0
2020-06-09 10:11:34:651	236	0
2020-06-09 10:11:35:657	236	0
2020-06-09 10:11:36:646	236	0
2020-06-09 10:11:37:653	236	0
2020-06-09 10:11:38:658	236	0
2020-06-09 10:11:39:663	236	0
2020-06-09 10:11:40:656	236	0
Wind Monitoring Program V1.0
ȸ �� �� : (��)����
�ۼ����� : 2020�� 06�� 09�� 10:08:09


��¥/�ð� 	 Wind_Driction 	 Wind_Speed
2020-06-09 10:08:09:671	301	0
2020-06-09 10:08:10:653	301	0
2020-06-09 10:08:11:656	301	0
2020-06-09 10:08:12:663	301	0
2020-06-09 10:08:13:655	301	0
2020-06-09 10:08:14:658	301	0
2020-06-09 10:08:15:649	301	0
2020-06-09 10:08:16:653	301	0
2020-06-09 10:08:17:660	301	0
2020-06-09 10:08:18:649	301	0
2020-06-09 10:08:19:657	301	0
2020-06-09 10:08:20:661	301	0
2020-06-09 10:08:21:670	301	0
2020-06-09 10:08:22:658	301	0
2020-06-09 10:08:23:663	301	0
2020-06-09 10:08:24:672	301	0
2020-06-09 10:08:25:658	301	0
2020-06-09 10:08:26:664	301	0
2020-06-09 10:08:27:655	301	0
2020-06-09 10:08:28:644	301	0
2020-06-09 10:08:29:649	301	0
2020-06-09 10:08:30:655	301	0
2020-06-09 10:08:31:645	301	0
2020-06-09 10:08:32:652	301	0
2020-06-09 10:08:33:641	301	0
2020-06-09 10:08:34:650	301	0
2020-06-09 10:08:35:669	301	0
2020-06-09 10:08:36:659	301	0
2020-06-09 10:08:37:649	301	0
2020-06-09 10:08:38:656	301	0.1819853
2020-06-09 10:08:39:647	301	0.1809325
2020-06-09 10:08:40:650	301	0.1846655
2020-06-09 10:08:41:657	301	0.1758313
2020-06-09 10:08:42:647	301	0.1930181
2020-06-09 10:08:43:652	301	0.1752866
2020-06-09 10:08:44:658	301	0
2020-06-09 10:08:45:648	301	0
2020-06-09 10:08:46:653	301	0
2020-06-09 10:08:47:659	301	0
2020-06-09 10:08:48:652	278	0.3005084
2020-06-09 10:08:49:655	274	0.2573662
2020-06-09 10:08:50:665	274	0.2312521
2020-06-09 10:08:51:670	285	0.2807711
2020-06-09 10:08:52:657	275	0.2424628
2020-06-09 10:08:53:651	275	0.2485372
2020-06-09 10:08:54:653	236	0.2331137
2020-06-09 10:08:55:662	236	0.1857711
2020-06-09 10:08:56:648	236	0
2020-06-09 10:08:57:658	236	0
2020-06-09 10:08:58:663	236	0
2020-06-09 10:08:59:666	236	0
2020-06-09 10:09:00:657	236	0
2020-06-09 10:09:01:662	236	0
2020-06-09 10:09:02:651	236	0
2020-06-09 10:09:03:658	236	0
2020-06-09 10:09:04:664	236	0
2020-06-09 10:09:05:653	236	0
2020-06-09 10:09:06:659	236	0
2020-06-09 10:09:07:648	236	0
2020-06-09 10:09:08:654	236	0
2020-06-09 10:09:09:649	236	0
2020-06-09 10:09:10:651	236	0
2020-06-09 10:09:11:658	236	0
2020-06-09 10:09:12:648	236	0
2020-06-09 10:09:13:654	236	0
2020-06-09 10:09:14:662	236	0
2020-06-09 10:09:15:648	236	0
2020-06-09 10:09:16:659	236	0
2020-06-09 10:09:17:660	236	0
2020-06-09 10:09:18:652	236	0
2020-06-09 10:09:19:655	236	0
2020-06-09 10:09:20:664	236	0
2020-06-09 10:09:21:651	236	0
2020-06-09 10:09:22:661	236	0
2020-06-09 10:09:23:665	236	0
2020-06-09 10:09:24:668	236	0
2020-06-09 10:09:25:659	236	0
2020-06-09 10:09:26:648	236	0
2020-06-09 10:09:27:654	236	0
2020-06-09 10:09:28:660	236	0
2020-06-09 10:09:29:650	236	0
2020-06-09 10:09:30:657	236	0
2020-06-09 10:09:31:663	236	0
2020-06-09 10:09:32:656	236	0
2020-06-09 10:09:33:657	236	0
2020-06-09 10:09:34:651	236	0
2020-06-09 10:09:35:654	236	0
2020-06-09 10:09:36:649	236	0
2020-06-09 10:09:37:649	236	0
2020-06-09 10:09:38:656	236	0
2020-06-09 10:09:39:663	236	0
2020-06-09 10:09:40:651	236	0
2020-06-09 10:09:41:656	236	0
2020-06-09 10:09:42:647	236	0
2020-06-09 10:09:43:656	236	0
2020-06-09 10:09:44:658	236	0
2020-06-09 10:09:45:665	236	0
2020-06-09 10:09:46:654	236	0
2020-06-09 10:09:47:661	236	0
2020-06-09 10:09:48:666	236	0
2020-06-09 10:09:49:656	236	0
2020-06-09 10:09:50:646	236	0
2020-06-09 10:09:51:651	236	0
2020-06-09 10:09:52:658	236	0
2020-06-09 10:09:53:647	236	0
2020-06-09 10:09:54:652	236	0
2020-06-09 10:09:55:643	236	0
2020-06-09 10:09:56:649	236	0
2020-06-09 10:09:57:655	236	0
2020-06-09 10:09:58:660	236	0
2020-06-09 10:09:59:650	236	0
2020-06-09 10:10:00:656	236	0
2020-06-09 10:10:01:663	236	0
2020-06-09 10:10:02:653	236	0
2020-06-09 10:10:03:657	236	0
2020-06-09 10:10:04:648	236	0
2020-06-09 10:10:05:655	236	0
2020-06-09 10:10:06:644	236	0
2020-06-09 10:10:07:671	236	0
2020-06-09 10:10:08:655	236	0
2020-06-09 10:10:09:648	236	0
2020-06-09 10:10:10:651	236	0
2020-06-09 10:10:11:657	236	0
2020-06-09 10:10:12:663	236	0
2020-06-09 10:10:13:654	236	0
2020-06-09 10:10:14:650	236	0.1764371
2020-06-09 10:10:15:650	236	0
2020-06-09 10:10:16:655	236	0
2020-06-09 10:10:17:661	236	0
2020-06-09 10:10:18:667	236	0
2020-06-09 10:10:19:657	236	0
2020-06-09 10:10:20:647	236	0
2020-06-09 10:10:21:654	236	0
2020-06-09 10:10:22:658	236	0
2020-06-09 10:10:23:666	236	0
2020-06-09 10:10:24:661	236	0.1897098
2020-06-09 10:10:25:660	236	0
2020-06-09 10:10:26:669	236	0
2020-06-09 10:10:27:655	236	0
2020-06-09 10:10:28:665	236	0
2020-06-09 10:10:29:653	236	0
2020-06-09 10:10:30:658	236	0
2020-06-09 10:10:31:666	236	0
2020-06-09 10:10:32:653	236	0
2020-06-09 10:10:33:662	236	0
2020-06-09 10:10:34:649	236	0
2020-06-09 10:10:35:655	236	0
2020-06-09 10:10:36:648	236	0
2020-06-09 10:10:37:650	236	0
2020-06-09 10:10:38:644	236	0
2020-06-09 10:10:39:646	236	0
2020-06-09 10:10:40:653	236	0
2020-06-09 10:10:41:658	236	0
2020-06-09 10:10:42:648	236	0
2020-06-09 10:10:43:655	236	0
2020-06-09 10:10:44:660	236	0
2020-06-09 10:10:45:653	236	0
2020-06-09 10:10:46:657	236	0
2020-06-09 10:10:47:663	236	0
2020-06-09 10:10:48:652	236	0
2020-06-09 10:10:49:658	236	0
2020-06-09 10:10:50:663	236	0
2020-06-09 10:10:51:652	236	0
2020-06-09 10:10:52:660	236	0
2020-06-09 10:10:53:666	236	0
2020-06-09 10:10:54:658	236	0
2020-06-09 10:10:55:665	236	0
2020-06-09 10:10:56:652	236	0
2020-06-09 10:10:57:657	236	0
2020-06-09 10:10:58:662	236	0
2020-06-09 10:10:59:655	236	0
2020-06-09 10:11:00:659	236	0.2238589
2020-06-09 10:11:01:664	236	0.1726545
2020-06-09 10:11:02:657	236	0
2020-06-09 10:11:03:644	236	0
2020-06-09 10:11:04:651	236	0.2247137
2020-06-09 10:11:05:656	236	0
2020-06-09 10:11:06:647	236	0
2020-06-09 10:11:07:655	236	0
2020-06-09 10:11:08:657	236	0
2020-06-09 10:11:09:649	236	0
2020-06-09 10:11:10:652	236	0
2020-06-09 10:11:11:659	236	0
2020-06-09 10:11:12:651	236	0
2020-06-09 10:11:13:655	236	0
2020-06-09 10:11:14:661	236	0
2020-06-09 10:11:15:666	236	0
2020-06-09 10:11:16:656	236	0
2020-06-09 10:11:17:663	236	0
2020-06-09 10:11:18:653	236	0
2020-06-09 10:11:19:658	236	0
2020-06-09 10:11:20:666	236	0
2020-06-09 10:11:21:654	236	0
2020-06-09 10:11:22:660	236	0
2020-06-09 10:11:23:654	236	0
2020-06-09 10:11:24:655	236	0.1695198
2020-06-09 10:11:25:665	236	0
2020-06-09 10:11:26:652	236	0
2020-06-09 10:11:27:657	236	0
2020-06-09 10:11:28:665	236	0
2020-06-09 10:11:29:654	236	0
2020-06-09 10:11:30:646	236	0
2020-06-09 10:11:31:649	236	0
2020-06-09 10:11:32:655	236	0
2020-06-09 10:11:33:646	236	0
2020-06-09 10:11:34:651	236	0
2020-06-09 10:11:35:657	236	0
2020-06-09 10:11:36:646	236	0
2020-06-09 10:11:37:653	236	0
2020-06-09 10:11:38:658	236	0
2020-06-09 10:11:39:663	236	0
2020-06-09 10:11:40:656	236	0
2020-06-09 10:11:41:659	236	0
2020-06-09 10:11:42:668	236	0
2020-06-09 10:11:43:657	236	0
2020-06-09 10:11:44:661	236	0
2020-06-09 10:11:45:652	236	0
2020-06-09 10:11:46:656	236	0
2020-06-09 10:11:47:647	236	0
2020-06-09 10:11:48:653	236	0
2020-06-09 10:11:49:642	236	0
2020-06-09 10:11:50:663	236	0
2020-06-09 10:11:51:655	236	0
2020-06-09 10:11:52:646	236	0
2020-06-09 10:11:53:650	236	0
2020-06-09 10:11:54:658	236	0
2020-06-09 10:11:55:646	236	0
2020-06-09 10:11:56:652	236	0
2020-06-09 10:11:57:658	236	0
2020-06-09 10:11:58:646	236	0
2020-06-09 10:11:59:654	236	0
2020-06-09 10:12:00:660	236	0.1658891
2020-06-09 10:12:01:650	236	0
2020-06-09 10:12:02:656	236	0
2020-06-09 10:12:03:660	236	0
2020-06-09 10:12:04:651	236	0
2020-06-09 10:12:05:655	236	0
2020-06-09 10:12:06:661	236	0
2020-06-09 10:12:07:652	236	0
2020-06-09 10:12:08:658	236	0.1679441
2020-06-09 10:12:09:664	236	0
2020-06-09 10:12:10:653	236	0
2020-06-09 10:12:11:660	236	0
2020-06-09 10:12:12:649	236	0
2020-06-09 10:12:13:654	236	0
2020-06-09 10:12:14:660	236	0
2020-06-09 10:12:15:649	236	0
2020-06-09 10:12:16:657	236	0
2020-06-09 10:12:17:663	236	0
2020-06-09 10:12:18:651	236	0
2020-06-09 10:12:19:660	236	0
2020-06-09 10:12:20:663	236	0
2020-06-09 10:12:21:669	236	0
2020-06-09 10:12:22:659	236	0
2020-06-09 10:12:23:665	236	0
2020-06-09 10:12:24:655	236	0
2020-06-09 10:12:25:660	236	0
2020-06-09 10:12:26:654	236	0
2020-06-09 10:12:27:656	236	0
2020-06-09 10:12:28:648	236	0
